72:72:0.0:b'password#STA:TxTest;TM:1556949025;DISK:7194608.43;PPT:59.6;SQ:16.NET:1#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002616;DISK:7176084.43;PPT:54.8;SQ:15.;NET:11#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002644;DISK:7176064.43;PPT:55.3;SQ:14.;NET:21#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002664;DISK:7176056.43;PPT:54.2;SQ:14.;NET:31#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002692;DISK:7176056.43;PPT:55.3;SQ:15.;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002713;DISK:7176048.43;PPT:55.8;SQ:14.;NET:12#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002741;DISK:7176044.43;PPT:54.8;SQ:17.;NET:22#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002760;DISK:7176036.43;PPT:55.8;SQ:14.;NET:32#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002789;DISK:7176028.43;PPT:55.3;SQ:11.;NET:42#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002810;DISK:7176024.43;PPT:55.3;SQ:15.;NET:13#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002838;DISK:7176016.43;PPT:54.2;SQ:13.;NET:23#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002858;DISK:7176012.43;PPT:55.8;SQ:10.;NET:33#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002887;DISK:7176008.43;PPT:55.8;SQ:16.;NET:43#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002907;DISK:7176000.43;PPT:55.8;SQ:14.;NET:14#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002936;DISK:7175992.43;PPT:54.8;SQ:13.;NET:24#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002956;DISK:7175988.43;PPT:55.8;SQ:14.;NET:34#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002984;DISK:7175980.43;PPT:56.4;SQ:16.;NET:44#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003005;DISK:7175976.43;PPT:55.3;SQ:12.;NET:15#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003033;DISK:7175968.43;PPT:56.4;SQ:12.;NET:25#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003053;DISK:7175960.43;PPT:55.8;SQ:14.;NET:35#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003081;DISK:7175956.43;PPT:55.8;SQ:15.;NET:45#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003102;DISK:7175948.43;PPT:55.8;SQ:13.;NET:16#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003130;DISK:7175936.43;PPT:55.8;SQ:16.;NET:26#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003149;DISK:7175932.43;PPT:56.9;SQ:13.;NET:36#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003178;DISK:7175924.43;PPT:56.4;SQ:13.;NET:46#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003198;DISK:7175920.43;PPT:56.9;SQ:12.;NET:17#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003226;DISK:7175916.43;PPT:56.4;SQ:12.;NET:27#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003246;DISK:7175900.43;PPT:55.8;SQ:15.;NET:37#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003275;DISK:7175896.43;PPT:55.8;SQ:15.;NET:47#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557003524;DISK:7175880.43;PPT:56.9;SQ:17.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557003612;DISK:7175864.43;PPT:55.3;SQ:16.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557003631;DISK:7175860.43;PPT:56.4;SQ:17.;NET:3#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557003659;DISK:7175856.43;PPT:55.8;SQ:12.;NET:4#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003679;DISK:7175844.43;PPT:56.4;SQ:15.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003706;DISK:7175836.43;PPT:55.8;SQ:16.;NET:20#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003726;DISK:7175824.43;PPT:55.8;SQ:12.;NET:30#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003755;DISK:7175812.43;PPT:56.4;SQ:18.;NET:40#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003776;DISK:7175808.43;PPT:56.9;SQ:17.;NET:11#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003804;DISK:7175804.43;PPT:56.9;SQ:13.;NET:21#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003823;DISK:7175792.43;PPT:56.9;SQ:16.;NET:31#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003852;DISK:7175788.43;PPT:55.8;SQ:16.;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003873;DISK:7175780.43;PPT:56.9;SQ:17.;NET:12#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003900;DISK:7175768.43;PPT:56.9;SQ:16.;NET:22#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003920;DISK:7175764.43;PPT:56.9;SQ:17.;NET:32#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003948;DISK:7175760.43;PPT:56.9;SQ:15.;NET:42#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003969;DISK:7175752.43;PPT:56.9;SQ:17.;NET:13#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557003997;DISK:7175748.43;PPT:56.4;SQ:10.;NET:23#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004016;DISK:7175744.43;PPT:56.4;SQ:16.;NET:33#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004045;DISK:7175728.43;PPT:56.9;SQ:15.;NET:43#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004066;DISK:7175724.43;PPT:56.4;SQ:17.;NET:14#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004094;DISK:7175716.43;PPT:56.9;SQ:12.;NET:24#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004114;DISK:7175712.43;PPT:55.3;SQ:16.;NET:34#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004143;DISK:7175708.43;PPT:55.8;SQ:14.;NET:44#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004164;DISK:7175700.43;PPT:56.4;SQ:15.;NET:15#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004212;DISK:7175688.43;PPT:56.4;SQ:13.;NET:35#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004240;DISK:7175676.43;PPT:55.8;SQ:17.;NET:45#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004262;DISK:7175672.43;PPT:56.4;SQ:15.;NET:16#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004290;DISK:7175668.43;PPT:55.8;SQ:12.;NET:26#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004310;DISK:7175660.43;PPT:55.8;SQ:17.;NET:36#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004339;DISK:7175656.43;PPT:57.5;SQ:17.;NET:46#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004359;DISK:7175652.43;PPT:56.4;SQ:18.;NET:17#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004387;DISK:7175640.43;PPT:56.9;SQ:16.;NET:27#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004407;DISK:7175636.43;PPT:55.8;SQ:17.;NET:37#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557004436;DISK:7175624.43;PPT:56.4;SQ:13.;NET:47#\n'
66:66:0.0:b'password#STA:TxTest;TM:1557004715;DISK:7175600.43;PPT:57.5;NET:7#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557201612;DISK:7176672.43;PPT:59.1;SQ:15.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557201639;DISK:7176664.43;PPT:57.5;SQ:14.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557201659;DISK:7176652.43;PPT:59.1;SQ:14.;NET:3#\n'
72:72:0.0:b'password#STA:TxTest;TM:1557201687;DISK:7176644.43;PPT:58.;SQ:16.;NET:4#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557201706;DISK:7176636.43;PPT:59.1;SQ:15.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557201734;DISK:7176628.43;PPT:57.5;SQ:15.;NET:20#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557201754;DISK:7176624.43;PPT:58.;SQ:16.;NET:30#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557201783;DISK:7176620.43;PPT:57.5;SQ:15.;NET:40#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557201803;DISK:7176608.43;PPT:58.;SQ:15.;NET:11#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557201831;DISK:7176604.43;PPT:58.5;SQ:14.;NET:21#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557201851;DISK:7176600.43;PPT:59.1;SQ:15.;NET:31#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557201879;DISK:7176588.43;PPT:59.1;SQ:13.;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557201899;DISK:7176584.43;PPT:58.5;SQ:15.;NET:12#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557201928;DISK:7176580.43;PPT:58.;SQ:12.;NET:22#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557201947;DISK:7176568.43;PPT:58.;SQ:13.;NET:32#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557201976;DISK:7176560.43;PPT:58.5;SQ:16.;NET:42#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557201997;DISK:7176556.43;PPT:58.;SQ:14.;NET:13#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202025;DISK:7176548.43;PPT:57.5;SQ:16.;NET:23#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202045;DISK:7176544.43;PPT:58.5;SQ:14.;NET:33#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202073;DISK:7176536.43;PPT:58.5;SQ:15.;NET:43#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202094;DISK:7176532.43;PPT:57.5;SQ:15.;NET:14#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202122;DISK:7176524.43;PPT:59.1;SQ:14.;NET:24#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202142;DISK:7176516.43;PPT:56.9;SQ:14.;NET:34#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202171;DISK:7176512.43;PPT:58.5;SQ:13.;NET:44#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202192;DISK:7176508.43;PPT:58.5;SQ:13.;NET:15#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202219;DISK:7176500.43;PPT:57.5;SQ:15.;NET:25#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557202239;DISK:7176496.43;PPT:58.;SQ:16.;NET:35#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202268;DISK:7176488.43;PPT:59.1;SQ:16.;NET:45#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557202289;DISK:7176476.43;PPT:58.;SQ:16.;NET:16#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202316;DISK:7176472.43;PPT:59.1;SQ:15.;NET:26#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557202337;DISK:7176468.43;PPT:58.;SQ:15.;NET:36#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202366;DISK:7176460.43;PPT:59.1;SQ:16.;NET:46#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202386;DISK:7176456.43;PPT:59.1;SQ:15.;NET:17#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557202414;DISK:7176448.43;PPT:58.;SQ:15.;NET:27#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557202434;DISK:7176440.43;PPT:59.1;SQ:14.;NET:37#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557202463;DISK:7176432.43;PPT:58.;SQ:14.;NET:47#\n'
66:66:0.0:b'password#STA:TxTest;TM:1557202503;DISK:7176412.43;PPT:60.7;NET:7#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557203438;DISK:7176412.43;PPT:60.1;SQ:16.;NET:1#\n'
72:72:0.0:b'password#STA:TxTest;TM:1557203465;DISK:7176404.43;PPT:58.;SQ:15.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557203484;DISK:7176392.43;PPT:59.6;SQ:15.;NET:3#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557203512;DISK:7176380.43;PPT:57.5;SQ:14.;NET:4#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557203532;DISK:7176372.43;PPT:58.;SQ:15.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203560;DISK:7176368.43;PPT:59.1;SQ:14.;NET:20#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203632;DISK:7176356.43;PPT:59.1;SQ:15.;NET:40#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203652;DISK:7176352.43;PPT:58.5;SQ:14.;NET:11#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203680;DISK:7176336.43;PPT:59.1;SQ:15.;NET:21#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557203700;DISK:7176332.43;PPT:58.;SQ:15.;NET:31#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557203729;DISK:7176328.43;PPT:58.;SQ:15.;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203750;DISK:7176320.43;PPT:60.1;SQ:14.;NET:12#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203777;DISK:7176316.43;PPT:59.6;SQ:15.;NET:22#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203797;DISK:7176312.43;PPT:59.1;SQ:16.;NET:32#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203826;DISK:7176300.43;PPT:59.1;SQ:15.;NET:42#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203847;DISK:7176296.43;PPT:59.1;SQ:16.;NET:13#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203875;DISK:7176288.43;PPT:60.1;SQ:11.;NET:23#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203895;DISK:7176280.43;PPT:59.1;SQ:16.;NET:33#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203923;DISK:7176276.43;PPT:59.1;SQ:16.;NET:43#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557203944;DISK:7176268.43;PPT:58.5;SQ:17.;NET:14#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557203972;DISK:7176264.43;PPT:58.;SQ:16.;NET:24#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557203992;DISK:7176256.43;PPT:58.;SQ:16.;NET:34#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204021;DISK:7176244.43;PPT:58.;SQ:16.;NET:44#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204042;DISK:7176240.43;PPT:59.1;SQ:16.;NET:15#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204070;DISK:7176228.43;PPT:58.;SQ:16.;NET:25#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204090;DISK:7176220.43;PPT:58.5;SQ:15.;NET:35#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204119;DISK:7176216.43;PPT:58.;SQ:17.;NET:45#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204140;DISK:7176208.43;PPT:59.1;SQ:17.;NET:16#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204168;DISK:7176200.43;PPT:58.5;SQ:16.;NET:26#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204187;DISK:7176192.43;PPT:59.1;SQ:16.;NET:36#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204216;DISK:7176184.43;PPT:59.1;SQ:15.;NET:46#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204237;DISK:7176180.43;PPT:58.;SQ:17.;NET:17#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204265;DISK:7176176.43;PPT:59.1;SQ:14.;NET:27#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204285;DISK:7176172.43;PPT:59.6;SQ:11.;NET:37#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204314;DISK:7176160.43;PPT:58.5;SQ:16.;NET:47#\n'
66:66:0.0:b'password#STA:TxTest;TM:1557204354;DISK:7176144.43;PPT:60.1;NET:7#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204376;DISK:7176148.43;PPT:60.7;SQ:17.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204403;DISK:7176136.43;PPT:59.1;SQ:15.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204422;DISK:7176128.43;PPT:58.5;SQ:15.;NET:3#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204450;DISK:7176120.43;PPT:59.1;SQ:15.;NET:4#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204470;DISK:7176116.43;PPT:60.1;SQ:11.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204498;DISK:7176108.43;PPT:58.5;SQ:16.;NET:20#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204518;DISK:7176104.43;PPT:58.;SQ:14.;NET:30#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204547;DISK:7176100.43;PPT:58.5;SQ:15.;NET:40#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204568;DISK:7176092.43;PPT:60.1;SQ:16.;NET:11#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204596;DISK:7176080.43;PPT:60.1;SQ:13.;NET:21#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204616;DISK:7176076.43;PPT:58.;SQ:13.;NET:31#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204645;DISK:7176068.43;PPT:59.1;SQ:12.;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204665;DISK:7176064.43;PPT:59.1;SQ:11.;NET:12#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204694;DISK:7176056.43;PPT:58.5;SQ:11.;NET:22#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204714;DISK:7176048.43;PPT:58.;SQ:14.;NET:32#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204743;DISK:7176044.43;PPT:59.6;SQ:15.;NET:42#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204764;DISK:7176032.43;PPT:60.1;SQ:16.;NET:13#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204791;DISK:7176028.43;PPT:58.;SQ:16.;NET:23#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204811;DISK:7176024.43;PPT:60.1;SQ:16.;NET:33#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204840;DISK:7176016.43;PPT:59.6;SQ:16.;NET:43#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204861;DISK:7176012.43;PPT:59.1;SQ:16.;NET:14#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204889;DISK:7176008.43;PPT:58.;SQ:16.;NET:24#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204916;DISK:7175996.43;PPT:58.;SQ:15.;NET:34#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557204945;DISK:7175992.43;PPT:58.5;SQ:13.;NET:44#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557204966;DISK:7175984.43;PPT:58.;SQ:16.;NET:15#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205014;DISK:7175972.43;PPT:58.5;SQ:14.;NET:35#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557205042;DISK:7175964.43;PPT:58.;SQ:15.;NET:45#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557205063;DISK:7175960.43;PPT:58.;SQ:13.;NET:16#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557205092;DISK:7175952.43;PPT:58.;SQ:15.;NET:26#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205112;DISK:7175940.43;PPT:59.6;SQ:15.;NET:36#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205140;DISK:7175932.43;PPT:59.1;SQ:16.;NET:46#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205161;DISK:7175928.43;PPT:59.1;SQ:12.;NET:17#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205189;DISK:7175920.43;PPT:59.1;SQ:13.;NET:27#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205209;DISK:7175908.43;PPT:59.6;SQ:17.;NET:37#\n'
48:48:0.0:b'password#STA:TxTest;TM:1557205212;SQ:14.;NET:1#\n'
67:67:0.0:b'password#STA:TxTest;TM:1557205294;DISK:7175876.43;PPT:67.7;NET:26#\n'
48:48:0.0:b'password#STA:TxTest;TM:1557205298;SQ:15.;NET:1#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205341;DISK:7175856.43;PPT:59.1;SQ:15.;NET:46#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557205363;NET:17#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557205392;DISK:7175828.43;PPT:59.1;SQ:17.;NET:4#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205413;DISK:7175820.43;PPT:59.1;SQ:14.;NET:37#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205443;DISK:7175816.43;PPT:60.1;SQ:16.;NET:10#\n'
41:41:0.0:b'password#STA:TxTest;TM:1557205280;NET:7#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557205519;DISK:7175468.43;PPT:65.5;SQ:15.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557205545;DISK:7175456.43;PPT:60.1;SQ:16.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557205565;DISK:7175452.43;PPT:60.1;SQ:16.;NET:3#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557205593;DISK:7175444.43;PPT:60.1;SQ:15.;NET:4#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205613;DISK:7175436.43;PPT:59.6;SQ:14.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205641;DISK:7175428.43;PPT:59.1;SQ:16.;NET:20#\n'
49:49:0.0:b'password#STA:TxTest;TM:1557205650;SQ:13.;NET:30#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205691;DISK:7175712.43;PPT:60.1;SQ:16.;NET:40#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205715;DISK:7175704.43;PPT:59.1;SQ:14.;NET:21#\n'
49:49:0.0:b'password#STA:TxTest;TM:1557205715;SQ:13.;NET:31#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557205765;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205787;DISK:7175688.43;PPT:60.1;SQ:15.;NET:12#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557205814;DISK:7175676.43;PPT:60.1;SQ:15.;NET:4#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557205835;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205865;DISK:7175660.43;PPT:60.1;SQ:14.;NET:20#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557205886;NET:30#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557205916;DISK:7175648.43;PPT:60.1;SQ:12.;NET:40#\n'
